================================================================================================
Path-slot usage per (src,dst): FiLM-Tf vs noFiLM-Tf
================================================================================================
topo=geant_linear  episodes=200  K=16  min_flows=20  common_pairs=462

 src  dst | FiLM nSlot FiLM Hbits FiLM top% | noF nSlot noF Hbits noF top% |  nFlow
  10   15 |          8       1.29       78% |         2      0.53      88% |     64
  16   20 |          9       1.27       80% |         5      0.48      93% |     56
  17   10 |          9       1.27       80% |         3      0.63      88% |     56
   4    6 |          9       1.26       80% |        11      1.92      68% |     66
  11    1 |         10       1.25       82% |         4      0.58      90% |     60
   4   14 |          8       1.25       80% |         7      1.62      68% |     80
   7    5 |          8       1.23       81% |         6      1.03      83% |     62
   2    1 |          6       1.23       78% |         6      1.63      63% |     50
  15   10 |          6       1.22       75% |         2      0.51      89% |     65
   2    6 |          7       1.20       79% |         5      0.91      84% |     53
   9   20 |          8       1.18       82% |         3      0.22      97% |     66
  20    8 |          9       1.17       83% |         2      0.12      98% |     52
  15   21 |         11       1.17       84% |         5      0.59      91% |     74
   8   20 |         10       1.16       83% |         4      0.40      94% |     82
  19   15 |          8       1.16       81% |         4      0.70      88% |     54
   1   11 |          8       1.15       82% |         7      1.29      79% |     60
  21   18 |          7       1.14       82% |         5      0.74      88% |     55
  14   21 |          8       1.14       83% |         6      1.13      80% |     52
   9   19 |          6       1.13       74% |         2      0.88      70% |     76
  13   14 |          9       1.08       84% |         5      0.85      85% |     64
  12   11 |          9       1.07       85% |         5      0.95      83% |     71
  21   17 |          8       1.06       84% |         5      0.68      88% |     62
   6    2 |          8       1.06       84% |         8      1.37      77% |     63
  21   15 |          9       1.05       85% |         5      0.50      93% |     73
  17   21 |          7       1.04       84% |         3      0.32      95% |     56
   4    7 |          6       1.03       81% |         2      0.61      85% |     68
   5    6 |          8       1.03       85% |         5      0.78      87% |     65
  13    6 |          5       1.02       80% |         2      0.92      67% |     55
  20    9 |          9       0.99       86% |         2      0.12      98% |     79
   7   10 |          7       0.98       85% |         8      1.53      72% |     66
  14   13 |          6       0.98       83% |         4      1.00      79% |     66
   3   20 |          7       0.97       85% |         4      0.44      94% |     67
  12   17 |          9       0.97       86% |        11      1.32      81% |     80
  21    6 |          6       0.97       84% |         8      1.34      78% |     63
   2    0 |          7       0.96       85% |         5      0.61      91% |     55
  10   17 |          7       0.96       85% |         5      0.82      87% |     61
   1   14 |          8       0.95       86% |         6      1.24      77% |     59
  16   18 |          8       0.94       86% |         6      0.78      88% |     73
   6    5 |          7       0.89       87% |         7      1.15      80% |     67
   4   10 |          7       0.88       87% |         5      0.60      91% |     68
   7    4 |          5       0.88       84% |         4      0.87      83% |     58
   5   11 |          6       0.88       86% |         7      1.58      70% |     58
   9    8 |          8       0.86       87% |         2      0.23      96% |     86
  11   14 |          7       0.86       88% |         8      1.09      83% |     56
   2    7 |          6       0.82       87% |         5      0.96      83% |     63
  12    4 |          5       0.82       85% |         5      1.34      66% |     71
   6   13 |          6       0.82       86% |         3      0.70      84% |     73
   8    9 |          7       0.81       88% |         2      0.31      94% |     74
   1   13 |          8       0.79       89% |         1     -0.00     100% |     74
  11    2 |          5       0.79       87% |         7      1.34      75% |     63
  18   16 |          6       0.75       89% |         4      0.68      88% |     63
  17    5 |          6       0.73       89% |         2      0.26      96% |     64
   5   17 |          7       0.72       90% |         2      0.14      98% |     70
  10   21 |          7       0.71       90% |         4      0.51      92% |     71
  13    1 |          7       0.71       90% |         2      0.35      93% |     82
  12    5 |          7       0.68       91% |         6      1.02      83% |     65
  14    4 |          5       0.67       89% |         8      1.66      69% |     57
  10    4 |          5       0.67       90% |         4      0.63      89% |     49
  11   12 |          6       0.67       90% |         5      0.68      89% |     63
   8   19 |          6       0.65       91% |         2      0.12      98% |     65
   3   16 |          6       0.64       91% |         2      0.19      97% |     66
  14   11 |          7       0.64       92% |         4      0.55      92% |     71
   7   12 |          6       0.63       91% |         2      0.14      98% |     57
  16    3 |          5       0.63       90% |         2      0.11      99% |     62
   4   18 |          6       0.63       91% |         8      1.63      71% |     78
   1    6 |          3       0.62       88% |         4      0.89      82% |     56
   0   15 |          4       0.60       90% |         6      0.75      88% |     62
  21   14 |          5       0.58       92% |         7      0.89      86% |     59
   5   12 |          5       0.57       92% |         4      0.76      87% |     60
   6    1 |          5       0.46       94% |         4      0.94      79% |     65
  14    1 |          5       0.44       94% |         5      0.80      87% |     69
  12    2 |          4       0.43       94% |         5      1.40      72% |     64
   2   12 |          4       0.42       94% |         6      1.03      82% |     51
  21   10 |          4       0.30       96% |         4      0.53      92% |     77
  15    0 |          2       0.12       98% |         4      0.45      93% |     63
  12    7 |          1      -0.00      100% |         2      0.13      98% |     64
  19    8 |          1      -0.00      100% |         2      0.09      99% |     67
------------------------------------------------------------------------------------------------
Summary (mean over common pairs):
  FiLM-Tf  : mean_n_slots=10.55  mean_entropy=2.24 bits  frac_multislot=100%
  noFiLM-Tf: mean_n_slots=7.83  mean_entropy=1.93 bits  frac_multislot=100%

Reading guide: 对同一 (src,dst)，FiLM-Tf 用更多槽位 / 更高熵 → 随 QoS 意图与拥塞
切换路径；noFiLM-Tf 趋向单一槽位（多为 slot-0 即 OSPF 等价）。
================================================================================================
